# tatoeba id	bản dịch tiếng Việt
1085614	Hôm qua tin tức về việc hai công ty sáp nhập được đưa ra đột ngột.
1097583	Gần đây bạn có liên lạc với anh ấy không?
1100846	Cách diễn đạt này rất đặc trưng Trung Quốc.
1102172	Tiếng Trung của bạn giỏi thật, còn trích dẫn được tục ngữ nữa.
1112715	Anh ấy có thể đã lạc đường.
1112770	Chiếc sofa mới rất hợp với rèm cửa.
1112842	Thế giới này có tươi đẹp không?
1127106	Cô ấy học thuộc bài thơ một cách dễ dàng.
1133131	Thuốc này rất hiệu quả.
1134566	Giới trẻ Pháp có nói về chính trị không?
1134652	Độ chính xác rất quan trọng trong toán học.
1144530	Nhiều con chim bay cao trên bầu trời.
1148247	Họ sẽ không bao giờ đồng ý với nhau.
1151858	Xin lỗi, tôi không cố tình nổi nóng với bạn.
1169923	Tôi không có tương lai.
1173001	Bạn bè và tôi thường đến quán bar.
1173208	Tôi ăn cơm chiên và uống bia.
1173432	Ở đây có ai nói được tiếng Trung không?
1175838	Cô ấy thật phiền toái và ích kỷ.
1176034	Tôi muốn đậu phụ ma bà, và hai bát cơm.
1177017	Bầu trời đột nhiên bị mây đen bao phủ.
1178153	Em trai bạn thật tuyệt vời!
1178236	Bạn đã từng ra nước ngoài chưa, chẳng hạn như Mỹ?
1178847	Tôi sẽ đi chợ, dọn nhà và nấu tối cho bạn.
1184101	Cô ấy mặc chiếc áo khoác dày để chống lạnh.
1186884	Từ khi anh ấy rời đi, chúng tôi thực sự nhớ anh ấy.
1192611	Anh ấy làm việc ở bộ phận kế hoạch.
1205886	Bạn nhìn nhận kinh tế Nhật Bản như thế nào?
1205891	Bạn không nên tin tưởng những người như vậy.
1208496	Nghiện và sử dụng quá mức là hai chuyện khác nhau.
1208523	Đây là phương tiện giao tiếp, không phải chất hoặc hoạt động cụ thể.
1208525	Nó giống như nói rằng ai đó nghiện "giao thông", "nghệ thuật" hoặc "chính trị".
1214429	Trước đây người ta cho rằng có sự sống thông minh trên Sao Hỏa.
1214446	Người ta đã phát hiện ra rằng hút thuốc có hại cho sức khỏe.
1214747	Không có Đảng Cộng sản thì không có Trung Quốc mới.
1216064	Bà ngoại tôi chỉ uống một chút canh.
1216113	Bạn trai tôi vẫn chưa đến Vạn Lý Trường Thành.
1216117	Tổng cộng có khoảng mười đến hai mươi học sinh.
1216144	Xin hãy chiếu cố nhiều!
1218237	Cô tiểu thư đó vừa nói tục phải không?
1218294	Trong hộp hết đường rồi.
1221041	Anh ấy đưa ra đánh giá tích cực về cuốn sách.
1221044	Tôi sẽ kiểm tra thị lực của bạn.
1221450	Dù còn trẻ nhưng anh ấy rất đáng tin cậy.
1223762	Đứa trẻ tội nghiệp sắp chết đói.
1223810	Tôi nêm muối và tiêu lên cá.
1225662	Họ thu được lợi nhuận 8% từ khoản đầu tư.
1227061	Bạn không có quyền can thiệp vào chuyện của người khác.
1228439	Anh ấy ngủ ngon như em bé.
1228964	Bạn không nên khuất phục trước cám dỗ.
1229016	Tôi đã hẹn hò với cô ấy được vài tháng.
1231595	Họ thường chơi cầu lông ở đây.
1233205	Từ lúc gặp cô ấy, tôi đã ghét cô ấy.
1235501	Tôi rất kinh ngạc khi biết anh ấy bị thương nặng trong tai nạn xe hơi.
1235599	Kỹ năng lái xe máy của cô ấy rất tốt!
1235645	Tôi giúp mẹ làm việc nhà mỗi ngày.
1235651	Bạn không cần tự trách mình.
1237604	Thợ săn đuổi theo con thỏ trên cánh đồng.
1238193	Tom thực sự là người thú vị.
1238320	Tham quan tất cả các điểm du lịch khiến tôi kiệt sức.
1238324	Du khách bị mê hoặc bởi cảnh đẹp tinh tế.
1238372	Việc kinh doanh đang trong tình trạng thâm hụt.
1239327	Tôi gọi kiến trúc là âm nhạc bị đóng băng.
1239333	Đường hầm này dài gấp đôi cái kia.
1240252	Tôi thích những người có khiếu hài hước.
1241897	Nếu không có âm nhạc, thế giới chắc chắn sẽ rất tẻ nhạt.
1241913	Thực ra diễn viên đó đã kết hôn rồi.
1242095	Người đàn ông gầy đã giết người đàn ông béo.
1244803	Mười năm thực sự là một khoảng thời gian dài.
1245078	Chim dodo là loài động vật đã tuyệt chủng.
1249802	Học sinh có trách nhiệm dọn dẹp lớp học.
1250601	Người Thụy Sĩ tiêu thụ một lượng bia đáng kể.
1250637	Tro núi lửa làm gián đoạn giao thông hàng không.
1251547	Vô sản toàn thế giới, hãy đoàn kết lại!
1257049	Nước tẩy sơn móng tay có mùi rất nồng.
1261463	Nồi hầm này có mùi thơm ngon tuyệt.
1261466	Hệ thống này có một số khiếm khuyết rõ ràng.
1269267	Với một cuốn sách hay trong tay, bạn sẽ không bao giờ cô đơn.
1269913	Đó là một buổi lễ rất truyền thống.
1270575	Tôi chống lại cơn buồn ngủ.
1270586	Cảnh sát cẩn thận nhấc chiếc hộp lên.
1272208	Chi tiết tạo nên những ý tưởng vĩ đại.
1275232	Chúng tôi chưa ăn hết quả dưa hấu này.
1284197	Bạn đã từng làm nhân chứng trong một vụ kiện chưa?
1284198	Hành vi như vậy có thể gây ra tai nạn.
1296641	Văn phòng của anh ấy gần ga tàu.
1298065	Tôi thực sự ghen tị với cuộc sống của bạn bây giờ.
1298616	Công việc đó thú vị, và tiền lương cũng không tệ.
1298618	Anh ta đối xử với tôi như người lạ.
1300407	Chiếc điện thoại này thực sự rất đắt.
1312466	Xin vui lòng không hút thuốc ở nơi công cộng.
1313982	Đất bị mưa rửa trôi.
1314355	Thời tiết ở đây có những đặc điểm độc đáo riêng.
1314422	Theo như tôi biết, mọi việc đang tiến triển tốt.
1314449	Anh ấy sơn trần nhà màu xanh.
1315032	Tôi gần như không biết gì về điều đó.
1316081	Cảnh tượng kinh khủng khiến anh ấy run sợ.
1316087	Cảnh tượng ghê rợn làm anh ấy rùng mình.
1317002	Tôi tự hỏi dái tai có tác dụng gì.
1317014	Tôi đã làm việc cho tờ báo này được bốn năm.
1323320	Tôi rất thích tính cách nghĩ cho người khác của bạn.
1323334	Ngăn kéo bàn làm việc đang mở.
1323972	Nếu nhanh lên bạn vẫn còn kịp chuyến tàu.
1324139	Tải trọng của xe tải vượt quá ba tấn.
1324897	Xu hướng thời trang năm nay hoàn toàn khác năm ngoái.
1324904	Vi khuẩn nhỏ đến mức không thể nhìn thấy bằng mắt thường.
1325210	Giọng hát của bạn trong trẻo như nước Thái Bình Dương.
1325230	Anh ấy rất quan tâm đến cô ấy.
1326316	Tên tội phạm không thả con tin.
1326634	Bánh trứng mới nướng có hương vị tuyệt vời.
1327456	Cô ấy cứ đi lại trong phòng mãi.
1328039	Chắc chắn có sự hiểu lầm giữa chúng ta.
1328163	Thiết bị điện tử này chắc chắn đã bị hỏng trong quá trình giao hàng.
1328210	Anh ấy đã hứa sẽ đến nhưng không đến.
1329330	Đã bắt đầu làm thì đừng bỏ nửa chừng.
1330043	Cô ấy vặn nhỏ radio.
1335292	Tôi không ăn thịt heo, thịt bò và trứng.
1335448	Anh ấy chưa ngốc đến mức tin vào câu chuyện đó.
1343228	Đặt salad cà chua vào tủ lạnh.
1350119	Anh ấy nhấn mạnh tầm quan trọng của giáo dục.
1355246	Tiếng Đức là ngôn ngữ tổng hợp.
1358453	Tôi bị hình ảnh đó làm cho sợ hãi.
1360021	Thật là một cậu bé ngốc nghếch!
1360030	Binh lính chiếm đóng tòa nhà.
1361772	Vận may của anh ấy sớm muộn sẽ cạn.
1361952	Triển lãm đã mở cửa rồi.
1361954	Đầu anh ấy va vào một tảng đá.
1361977	Họ không phải lúc nào cũng vâng lời cha mẹ.
1361982	Anh ấy tái mặt vì bệnh.
1361990	Nỗi cô đơn của tôi là con rắn.
1365909	Bố có thể thổi nhiều vòng khói.
1366181	Anh ấy đã biết từ lâu mình sẽ không thắng.
1366198	Họ chiến đấu vì Tổ quốc.
1370617	Rùa biển có tuổi thọ rất dài.
1372497	Tom tình cờ gặp Mary ở siêu thị.
1394838	Hòn đảo nằm về phía tây Nhật Bản.
1394839	Cuộc họp sẽ diễn ra vào Chủ nhật tới.
1394844	Mẹ tôi chỉ lặng lẽ khóc.
1394846	Cô ấy xoay xở hoàn thành công việc một mình.
1394849	Anh ấy cải tạo nội thất ngôi nhà.
1394851	Đừng đổ lỗi cho Tom về những gì Mary đã làm.
1394852	Bạn không thể trông chờ vào sự giúp đỡ của họ.
1394854	Anh ấy đang trốn ở đâu vậy?
1394859	Ngôi nhà đó trông có vẻ bị bỏ hoang.
1394863	Ong đang bay giữa các bông hoa.
1394864	Họ dập tắt đám cháy trước bình minh.
1394883	Số người ra nước ngoài ngày càng tăng.
1394890	Trông cô ấy xanh xao khiến tôi lo lắng.
1394895	Cơ thể chúng ta phản ứng với cảm xúc của chúng ta.
1394908	Không có ý chí là trở ngại lớn nhất.
1394913	Tom hiểu những gì cần thiết để tồn tại.
1394928	Thủ đô của Brazil là Brasilia.
1394965	Ở nhà cô ấy, rác bếp được cho lợn ăn.
1395013	Chúng tôi dốc toàn lực để hoàn thành công việc.
1395050	Đặt một đĩa nhạc lên máy nghe nhạc nổi.
1395074	Những quả táo này trông rất tươi.
1395077	Anh ấy đã hoàn toàn mất cảm giác trách nhiệm.
1397013	Mọi người đều cảm thấy bi quan.
1397014	Anh ấy tìm taxi cho tôi.
1397029	Hoa anh đào đang nở ở Washington.
1397031	Tính nóng vội của anh ấy sẽ gây rắc rối một ngày nào đó.
1397034	Anh ấy là người vô cùng ích kỷ.
1397037	Anh ấy hối hận vì đã tiêu xài hoang phí.
1397066	Tôi đang suy đoán rằng anh ấy có thể thắng trận đấu.
1397077	Tôi đã ủng hộ bạn từ đầu đến cuối.
1397099	Những thứ này tạo nên một bữa ăn cân bằng dinh dưỡng.
1397100	Tất cả các điểm đó đều là nơi tập trung virus.
1397106	Xin lỗi, siêu thị bây giờ có mở cửa không?
1397112	Lực lượng vũ trang chiếm đóng toàn bộ lãnh thổ.
1397130	Sếp chúng tôi tiếc ngay cả một khoản tăng lương nhỏ.
1397133	Anh ta cố tình phạm lỗi để chọc tức tôi.
